"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"Boyhood",87,"Richard Linklater and Cathleen Sutherland, Producers","False",2015,7.9,6,"1",98,1,1,"Drama"
"Braveheart",68,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers","True",1996,8.4,10,"1",78,1,0,"Biography"
"Breaking Away",52,"Peter Yates, Producer","False",1980,7.7,5,"1",94,0,0,"Comedy"
"Bridge of Spies",88,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers","False",2016,7.6,6,"0",91,0,0,"Drama"
"Broadcast News",60,"James L. Brooks, Producer","False",1988,7.2,7,"0",98,0,0,"Comedy"
"Brokeback Mountain",78,"Diana Ossana and James Schamus, Producers","False",2006,7.7,8,"1",87,1,1,"Drama"
"Brooklyn",88,"Finola Dwyer and Amanda Posey, Producers","False",2016,7.5,3,"0",97,0,0,"Drama"
"Bugsy",64,"Mark Johnson, Barry Levinson and Warren Beatty, Producers","False",1992,6.8,10,"1",85,1,1,"Biography"
"Butch Cassidy and the Sundance Kid",42,"John Foreman, Producer","False",1970,8.1,6,"1",89,1,0,"Biography"
"Cabaret",45,"Cy Feuer, Producer","False",1973,7.9,10,"1",97,0,0,"Drama"
"Call Me by Your Name",90,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers","False",2018,8.3,3,"0",96,1,0,"Drama"
"Capote",78,"Caroline Baron, William Vince and Michael Ohoven, Producers","False",2006,7.4,5,"1",90,0,0,"Biography"
"Captain Phillips",86,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers","False",2014,7.8,6,"0",93,1,0,"Biography"
"Chariots of Fire",54,"David Puttnam, Producer","True",1982,7.2,7,"1",83,0,0,"Biography"
"Chicago",75,"Martin Richards, Producer","True",2003,7.2,12,"1",86,0,0,"Crime"
"Children of a Lesser God",59,"Burt Sugarman and Patrick Palmer, Producers","False",1987,7.2,5,"0",81,1,0,"Drama"
"Chinatown",47,"Robert Evans, Producer","False",1975,8.2,11,"1",98,1,1,"Drama"
"Chocolat",73,"David Brown, Kit Golden and Leslie Holleran, Producers","False",2001,7.3,5,"0",63,0,0,"Drama"
"Cleopatra",36,"Walter Wanger, Producer","False",1964,7,14,"0",55,1,0,"Biography"
"Coal Miner's Daughter",53,"Bernard Schwartz, Producer","False",1981,7.5,7,"0",100,0,0,"Biography"
"Coming Home",51,"Jerome Hellman, Producer","False",1979,7.3,8,"1",81,1,0,"Drama"
"Crash",78,"Paul Haggis and Cathy Schulman, Producers","True",2006,7.8,5,"1",75,0,0,"Crime"
"Cries and Whispers",46,"Ingmar Bergman, Producer","False",1974,8.2,5,"1",89,0,0,"Drama"
"Dallas Buyers Club",86,"Robbie Brenner and Rachel Winter, Producers","False",2014,8,6,"0",94,0,0,"Biography"
"Dangerous Liaisons",61,"Norma Heyman and Hank Moonjean, Producers","False",1989,7.7,7,"0",93,0,0,"Drama"
"Darkest Hour",90,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers","False",2018,7.4,6,"0",86,0,0,"Biography"
"Darling",38,"Joseph Janni, Producer","False",1966,7.2,5,"1",70,0,0,"Drama"
"Dead Poets Society",62,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers","False",1990,8,4,"1",85,1,0,"Comedy"
"Deliverance",45,"John Boorman, Producer","False",1973,7.7,3,"1",93,1,0,"Drama"
"District 9",82,"Peter Jackson and Carolynne Cunningham, Producers","False",2010,8,4,"0",90,0,0,"SciFi"
"Django Unchained",85,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers","False",2013,8.4,5,"0",88,1,0,"Drama"
"Doctor Dolittle",40,"Arthur P. Jacobs, Producer","False",1968,6.2,8,"0",32,0,0,"Comedy"
"Doctor Zhivago",38,"Carlo Ponti, Producer","False",1966,8,10,"1",82,1,1,"Drama"
"Dog Day Afternoon",48,"Martin Bregman and Martin Elfand, Producers","False",1976,8,6,"1",95,1,0,"Biography"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",37,"Stanley Kubrick, Producer","False",1965,8.5,4,"1",99,0,0,"Comedy"
"Driving Miss Daisy",62,"Richard D. Zanuck and Lili Fini Zanuck, Producers","True",1990,7.4,9,"0",82,0,0,"Drama"
"Dunkirk",90,"Emma Thomas and Christopher Nolan, Producers","False",2018,8.1,8,"1",92,1,0,"Action"
"Elizabeth",71,"Alison Owen, Eric Fellner and Tim Bevan, Producers","False",1999,7.5,7,"0",82,1,0,"Biography"
"Erin Brockovich",73,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers","False",2001,7.3,5,"1",84,1,0,"Biography"
"Fargo",69,"Ethan Coen, Producer","False",1997,8.1,7,"1",94,0,0,"Crime"
"Fatal Attraction",60,"Stanley R. Jaffe and Sherry Lansing, Producers","False",1988,6.9,6,"1",78,1,0,"Drama"
"Fences",89,"Scott Rudin, Denzel Washington and Todd Black, Producers","False",2017,7.4,4,"0",93,0,0,"Drama"
"Fiddler on the Roof",44,"Norman Jewison, Producer","False",1972,8,8,"1",81,0,0,"Drama"
"Field of Dreams",62,"Lawrence Gordon and Charles Gordon, Producers","False",1990,7.5,3,"0",86,0,0,"Drama"
"Finding Neverland",77,"Richard N. Gladstein and Nellie Bellflower, Producers","False",2005,7.7,7,"0",83,1,0,"Biography"
"Five Easy Pieces",43,"Bob Rafelson and Richard Wechsler, Producers","False",1971,7.5,4,"0",87,1,0,"Drama"
"Forrest Gump",67,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers","True",1995,8.8,13,"1",72,1,1,"Drama"
"Four Weddings and a Funeral",67,"Duncan Kenworthy, Producer","False",1995,7.1,2,"0",95,0,0,"Comedy"
"Frost/Nixon",81,"Brian Grazer, Ron Howard and Eric Fellner, Producers","False",2009,7.7,5,"1",92,1,0,"Biography"
"Funny Girl",41,"Ray Stark, Producer","False",1969,7.5,7,"0",93,0,0,"Biography"
